ATOM	Z	THR	ORDER	BOX	CENTERED?	D2?	PREC (-log)	DERIVATIVE	ENERGY
Hg, 80, 3, 7, 1, 1, 1, 4, ABGV, -3061.7257776397582
Hg, 80, 3, 7, 1, 1, 0, 4, ABGV, -3526.732654237243
Hg, 80, 3, 7, 1, 0, 0, 4, BS, -3530.177671855503
Hg, 80, 3, 7, 1, 0, 1, 4, PH, -3046.0955574733653
Hg, 80, 5, 9, 1, 0, 1, 6, PH, -3046.6810592260135
Hg, 80, 6, 10, 1, 0, 1, 7, ABGV, N/A
Hg, 80, 6, 10, 1, 0, 0, 7, ABGV, -3530.1758725479904
Hg, 80, 5, 9, 1, 0, 0, 6, BS, -3530.1778921175483
Hg, 80, 4, 8, 1, 1, 0, 5, BS, -3530.2022269271965
Hg, 80, 7, 11, 1, 0, 1, 8, BS, N/A
Hg, 80, 5, 9, 1, 1, 0, 6, ABGV, -3530.1510582154333
Hg, 80, 5, 9, 1, 1, 1, 6, ABGV, -3046.7137761619597
Hg, 80, 4, 8, 1, 1, 1, 5, PH, -3048.266831205292
Hg, 80, 7, 11, 1, 0, 0, 8, PH, -3530.177967179825
Hg, 80, 4, 8, 1, 0, 0, 5, ABGV, -3530.1688732489056
Hg, 80, 6, 10, 1, 1, 1, 7, PH, -3046.6487330778054
Hg, 80, 4, 8, 1, 0, 1, 5, ABGV, -3046.6777672036133
Hg, 80, 6, 10, 1, 1, 0, 7, BS, -3530.1779382565765
Hg, 80, 3, 7, 1, 0, 1, 4, ABGV, -3037.4303935494136
Hg, 80, 6, 10, 1, 0, 1, 7, PH, N/A
Hg, 80, 3, 7, 1, 0, 0, 4, ABGV, -3529.885456662485
Hg, 80, 6, 10, 1, 0, 0, 7, BS, -3530.177917760082
Hg, 80, 7, 11, 1, 1, 1, 8, BS, -3046.6836134144796
Hg, 80, 4, 8, 1, 0, 0, 5, BS, -3530.178269496246
Hg, 80, 6, 10, 1, 1, 1, 7, ABGV, -3046.68420780045
Hg, 80, 6, 10, 1, 1, 0, 7, ABGV, -3530.175008694665
Hg, 80, 7, 11, 1, 1, 0, 8, PH, -3530.1779676983715
Hg, 80, 4, 8, 1, 0, 1, 5, PH, -3046.6874199333306
Hg, 80, 3, 7, 1, 1, 0, 4, PH, -3528.6455560421073
Hg, 80, 7, 11, 1, 0, 1, 8, ABGV, N/A
Hg, 80, 7, 11, 1, 0, 0, 8, ABGV, -3530.177342880468
Hg, 80, 3, 7, 1, 1, 1, 4, BS, -3052.8357863595793
Hg, 80, 5, 9, 1, 1, 1, 6, BS, -3046.6420690557497
Hg, 80, 5, 9, 1, 1, 0, 6, PH, -3530.1797832714583
Hg, 80, 5, 9, 1, 0, 1, 6, BS, -3046.682436118481
Hg, 80, 5, 9, 1, 0, 0, 6, PH, -3530.176528392074
Hg, 80, 3, 7, 1, 0, 0, 4, PH, -3530.2020157279203
Hg, 80, 3, 7, 1, 0, 1, 4, BS, -3047.4532200917565
Hg, 80, 6, 10, 1, 1, 1, 7, BS, -3046.6799879426253
Hg, 80, 6, 10, 1, 1, 0, 7, PH, -3530.177883685452
Hg, 80, 7, 11, 1, 1, 1, 8, ABGV, -3046.6838970613917
Hg, 80, 7, 11, 1, 1, 0, 8, ABGV, -3530.1767380007022
Hg, 80, 7, 11, 1, 0, 1, 8, PH, N/A
Hg, 80, 4, 8, 1, 1, 0, 5, PH, -3530.038323580213
Hg, 80, 7, 11, 1, 0, 0, 8, BS, -3530.1779222532423
Hg, 80, 4, 8, 1, 1, 1, 5, BS, -3047.650096772628
Hg, 80, 4, 8, 1, 0, 0, 5, PH, -3530.1760529874464
Hg, 80, 7, 11, 1, 1, 1, 8, PH, -3046.679527148048
Hg, 80, 4, 8, 1, 0, 1, 5, BS, -3046.6844051478547
Hg, 80, 7, 11, 1, 1, 0, 8, BS, -3530.177921829223
Hg, 80, 6, 10, 1, 0, 1, 7, BS, -3046.68383038669
Hg, 80, 6, 10, 1, 0, 0, 7, PH, -3530.1780898069173
Hg	80	5	9	1	1	1	6	PH	-3047.01618832629
Hg	80	5	9	1	0	0	6	ABGV	-3530.1784675301387
Hg	80	5	9	1	0	1	6	ABGV	-3046.7012496078405
Hg	80	5	9	1	1	0	6	BS	-3530.177278722136
Hg	80	4	8	1	1	0	5	ABGV	-3530.2723910160257
Hg	80	4	8	1	1	1	5	ABGV	-3047.845612523348
Hg	80	3	7	1	1	0	4	BS	-3529.7178881038235
Hg	80	3	7	1	1	1	4	PH	-3056.975793453963
Hg	80	3	7	1	1	1	4	ABGV	-3061.7257776397582
Hg	80	3	7	1	1	0	4	ABGV	-3526.732654237243
Hg	80	3	7	1	0	0	4	BS	-3530.177671855503
Hg	80	3	7	1	0	1	4	PH	-3046.0955574733653
Hg	80	5	9	1	0	1	6	PH	-3046.6810592260135
Hg	80	6	10	1	0	1	7	ABGV	N/A
Hg	80	6	10	1	0	0	7	ABGV	-3530.1758725479904
Hg	80	5	9	1	0	0	6	BS	-3530.1778921175483
Hg	80	4	8	1	1	0	5	BS	-3530.2022269271965
Hg	80	7	11	1	0	1	8	BS	N/A
Hg	80	5	9	1	1	0	6	ABGV	-3530.1510582154333
Hg	80	5	9	1	1	1	6	ABGV	-3046.7137761619597
Hg	80	4	8	1	1	1	5	PH	-3048.266831205292
Hg	80	7	11	1	0	0	8	PH	-3530.177967179825
Hg	80	4	8	1	0	0	5	ABGV	-3530.1688732489056
Hg	80	6	10	1	1	1	7	PH	-3046.6487330778054
Hg	80	4	8	1	0	1	5	ABGV	-3046.6777672036133
Hg	80	6	10	1	1	0	7	BS	-3530.1779382565765
Hg	80	3	7	1	0	1	4	ABGV	-3037.4303935494136
Hg	80	6	10	1	0	1	7	PH	N/A
Hg	80	3	7	1	0	0	4	ABGV	-3529.885456662485
Hg	80	6	10	1	0	0	7	BS	-3530.177917760082
Hg	80	7	11	1	1	1	8	BS	-3046.6836134144796
Hg	80	4	8	1	0	0	5	BS	-3530.178269496246
Hg	80	6	10	1	1	1	7	ABGV	-3046.68420780045
Hg	80	6	10	1	1	0	7	ABGV	-3530.175008694665
Hg	80	7	11	1	1	0	8	PH	-3530.1779676983715
Hg	80	4	8	1	0	1	5	PH	-3046.6874199333306
Hg	80	3	7	1	1	0	4	PH	-3528.6455560421073
Hg	80	7	11	1	0	1	8	ABGV	N/A
Hg	80	7	11	1	0	0	8	ABGV	-3530.177342880468
Hg	80	3	7	1	1	1	4	BS	-3052.8357863595793
Hg	80	5	9	1	1	1	6	BS	-3046.6420690557497
Hg	80	5	9	1	1	0	6	PH	-3530.1797832714583
Hg	80	5	9	1	0	1	6	BS	-3046.682436118481
Hg	80	5	9	1	0	0	6	PH	-3530.176528392074
Hg	80	3	7	1	0	0	4	PH	-3530.2020157279203
Hg	80	3	7	1	0	1	4	BS	-3047.4532200917565
Hg	80	6	10	1	1	1	7	BS	-3046.6799879426253
Hg	80	6	10	1	1	0	7	PH	-3530.177883685452
Hg	80	7	11	1	1	1	8	ABGV	-3046.6838970613917
Hg	80	7	11	1	1	0	8	ABGV	-3530.1767380007022
Hg	80	7	11	1	0	1	8	PH	N/A
Hg	80	4	8	1	1	0	5	PH	-3530.038323580213
Hg	80	7	11	1	0	0	8	BS	-3530.1779222532423
Hg	80	4	8	1	1	1	5	BS	-3047.650096772628
Hg	80	4	8	1	0	0	5	PH	-3530.1760529874464
Hg	80	7	11	1	1	1	8	PH	-3046.679527148048
Hg	80	4	8	1	0	1	5	BS	-3046.6844051478547
Hg	80	7	11	1	1	0	8	BS	-3530.177921829223
Hg	80	6	10	1	0	1	7	BS	-3046.68383038669
Hg	80	6	10	1	0	0	7	PH	-3530.1780898069173
Hg	80	5	9	1	1	1	6	PH	-3047.01618832629
Hg	80	5	9	1	0	0	6	ABGV	-3530.1784675301387
Hg	80	5	9	1	0	1	6	ABGV	-3046.7012496078405
Hg	80	5	9	1	1	0	6	BS	-3530.177278722136
Hg	80	4	8	1	1	0	5	ABGV	-3530.2723910160257
Hg	80	4	8	1	1	1	5	ABGV	-3047.845612523348
Hg	80	3	7	1	1	0	4	BS	-3529.7178881038235
Hg	80	3	7	1	1	1	4	PH	-3056.975793453963
Hg	80	3	7	1	1	1	4	ABGV	-3061.7257776397582
Hg	80	3	7	1	1	0	4	ABGV	-3526.732654237243
Hg	80	3	7	1	0	0	4	BS	-3530.177671855503
Hg	80	3	7	1	0	1	4	PH	-3046.0955574733653
Hg	80	5	9	1	0	1	6	PH	-3046.6810592260135
Hg	80	6	10	1	0	1	7	ABGV	N/A
Hg	80	6	10	1	0	0	7	ABGV	-3530.1758725479904
Hg	80	5	9	1	0	0	6	BS	-3530.1778921175483
Hg	80	4	8	1	1	0	5	BS	-3530.2022269271965
Hg	80	7	11	1	0	1	8	BS	N/A
Hg	80	5	9	1	1	0	6	ABGV	-3530.1510582154333
Hg	80	5	9	1	1	1	6	ABGV	-3046.7137761619597
Hg	80	4	8	1	1	1	5	PH	-3048.266831205292
Hg	80	7	11	1	0	0	8	PH	-3530.177967179825
Hg	80	4	8	1	0	0	5	ABGV	-3530.1688732489056
Hg	80	6	10	1	1	1	7	PH	-3046.6487330778054
Hg	80	4	8	1	0	1	5	ABGV	-3046.6777672036133
Hg	80	6	10	1	1	0	7	BS	-3530.1779382565765
Hg	80	3	7	1	0	1	4	ABGV	-3037.4303935494136
Hg	80	6	10	1	0	1	7	PH	N/A
Hg	80	3	7	1	0	0	4	ABGV	-3529.885456662485
Hg	80	6	10	1	0	0	7	BS	-3530.177917760082
Hg	80	7	11	1	1	1	8	BS	-3046.6836134144796
Hg	80	4	8	1	0	0	5	BS	-3530.178269496246
Hg	80	6	10	1	1	1	7	ABGV	-3046.68420780045
Hg	80	6	10	1	1	0	7	ABGV	-3530.175008694665
Hg	80	7	11	1	1	0	8	PH	-3530.1779676983715
Hg	80	4	8	1	0	1	5	PH	-3046.6874199333306
Hg	80	3	7	1	1	0	4	PH	-3528.6455560421073
Hg	80	7	11	1	0	1	8	ABGV	N/A
Hg	80	7	11	1	0	0	8	ABGV	-3530.177342880468
Hg	80	3	7	1	1	1	4	BS	-3052.8357863595793
Hg	80	5	9	1	1	1	6	BS	-3046.6420690557497
Hg	80	5	9	1	1	0	6	PH	-3530.1797832714583
Hg	80	5	9	1	0	1	6	BS	-3046.682436118481
Hg	80	5	9	1	0	0	6	PH	-3530.176528392074
Hg	80	3	7	1	0	0	4	PH	-3530.2020157279203
Hg	80	3	7	1	0	1	4	BS	-3047.4532200917565
Hg	80	6	10	1	1	1	7	BS	-3046.6799879426253
Hg	80	6	10	1	1	0	7	PH	-3530.177883685452
Hg	80	7	11	1	1	1	8	ABGV	-3046.6838970613917
Hg	80	7	11	1	1	0	8	ABGV	-3530.1767380007022
Hg	80	7	11	1	0	1	8	PH	N/A
Hg	80	4	8	1	1	0	5	PH	-3530.038323580213
Hg	80	7	11	1	0	0	8	BS	-3530.1779222532423
Hg	80	4	8	1	1	1	5	BS	-3047.650096772628
Hg	80	4	8	1	0	0	5	PH	-3530.1760529874464
Hg	80	7	11	1	1	1	8	PH	-3046.679527148048
Hg	80	4	8	1	0	1	5	BS	-3046.6844051478547
Hg	80	7	11	1	1	0	8	BS	-3530.177921829223
Hg	80	6	10	1	0	1	7	BS	-3046.68383038669
Hg	80	6	10	1	0	0	7	PH	-3530.1780898069173
Hg	80	5	9	1	1	1	6	PH	-3047.01618832629
Hg	80	5	9	1	0	0	6	ABGV	-3530.1784675301387
Hg	80	5	9	1	0	1	6	ABGV	-3046.7012496078405
Hg	80	5	9	1	1	0	6	BS	-3530.177278722136
Hg	80	4	8	1	1	0	5	ABGV	-3530.2723910160257
Hg	80	4	8	1	1	1	5	ABGV	-3047.845612523348
Hg	80	3	7	1	1	0	4	BS	-3529.7178881038235
Hg	80	3	7	1	1	1	4	PH	-3056.975793453963
Hg	80	3	7	1	1	1	4	ABGV	-3061.7257776397582
Hg	80	3	7	1	1	0	4	ABGV	-3526.732654237243
Hg	80	3	7	1	0	0	4	BS	-3530.177671855503
Hg	80	3	7	1	0	1	4	PH	-3046.0955574733653
Hg	80	5	9	1	0	1	6	PH	-3046.6810592260135
Hg	80	6	10	1	0	1	7	ABGV	N/A
Hg	80	6	10	1	0	0	7	ABGV	-3530.1758725479904
Hg	80	5	9	1	0	0	6	BS	-3530.1778921175483
Hg	80	4	8	1	1	0	5	BS	-3530.2022269271965
Hg	80	7	11	1	0	1	8	BS	N/A
Hg	80	5	9	1	1	0	6	ABGV	-3530.1510582154333
Hg	80	5	9	1	1	1	6	ABGV	-3046.7137761619597
Hg	80	4	8	1	1	1	5	PH	-3048.266831205292
Hg	80	7	11	1	0	0	8	PH	-3530.177967179825
Hg	80	4	8	1	0	0	5	ABGV	-3530.1688732489056
Hg	80	6	10	1	1	1	7	PH	-3046.6487330778054
Hg	80	4	8	1	0	1	5	ABGV	-3046.6777672036133
Hg	80	6	10	1	1	0	7	BS	-3530.1779382565765
Hg	80	3	7	1	0	1	4	ABGV	-3037.4303935494136
Hg	80	6	10	1	0	1	7	PH	N/A
Hg	80	3	7	1	0	0	4	ABGV	-3529.885456662485
Hg	80	6	10	1	0	0	7	BS	-3530.177917760082
Hg	80	7	11	1	1	1	8	BS	-3046.6836134144796
Hg	80	4	8	1	0	0	5	BS	-3530.178269496246
Hg	80	6	10	1	1	1	7	ABGV	-3046.68420780045
Hg	80	6	10	1	1	0	7	ABGV	-3530.175008694665
Hg	80	7	11	1	1	0	8	PH	-3530.1779676983715
Hg	80	4	8	1	0	1	5	PH	-3046.6874199333306
Hg	80	3	7	1	1	0	4	PH	-3528.6455560421073
Hg	80	7	11	1	0	1	8	ABGV	N/A
Hg	80	7	11	1	0	0	8	ABGV	-3530.177342880468
Hg	80	3	7	1	1	1	4	BS	-3052.8357863595793
Hg	80	5	9	1	1	1	6	BS	-3046.6420690557497
Hg	80	5	9	1	1	0	6	PH	-3530.1797832714583
Hg	80	5	9	1	0	1	6	BS	-3046.682436118481
Hg	80	5	9	1	0	0	6	PH	-3530.176528392074
Hg	80	3	7	1	0	0	4	PH	-3530.2020157279203
Hg	80	3	7	1	0	1	4	BS	-3047.4532200917565
Hg	80	6	10	1	1	1	7	BS	-3046.6799879426253
Hg	80	6	10	1	1	0	7	PH	-3530.177883685452
Hg	80	7	11	1	1	1	8	ABGV	-3046.6838970613917
Hg	80	7	11	1	1	0	8	ABGV	-3530.1767380007022
Hg	80	7	11	1	0	1	8	PH	N/A
Hg	80	4	8	1	1	0	5	PH	-3530.038323580213
Hg	80	7	11	1	0	0	8	BS	-3530.1779222532423
Hg	80	4	8	1	1	1	5	BS	-3047.650096772628
Hg	80	4	8	1	0	0	5	PH	-3530.1760529874464
Hg	80	7	11	1	1	1	8	PH	-3046.679527148048
Hg	80	4	8	1	0	1	5	BS	-3046.6844051478547
Hg	80	7	11	1	1	0	8	BS	-3530.177921829223
Hg	80	6	10	1	0	1	7	BS	-3046.68383038669
Hg	80	6	10	1	0	0	7	PH	-3530.1780898069173
